OrderID,RegionCode,Product,Quantity,UnitPrice,OrderDate
O00212,R01,Cog,10,8.25,2024-11-01
O00213,R05,Gadget,9,29.99,2024-07-13
O00214,R04,Cog,5,8.25,2024-10-28
O00215,R04,Sprocket,10,4.75,2024-11-13
O00216,R01,Widget,4,12.5,2024-11-16
O00217,R02,Sprocket,2,4.75,2024-03-21
O00218,R02,Gadget,9,29.99,2024-02-08
O00219,R02,Widget,7,12.5,2024-08-18
O00220,R06,Cog,5,8.25,2024-01-17
O00221,R02,Sprocket,5,4.75,2024-12-25
O00222,R04,Widget,4,12.5,2024-05-15
O00223,R06,Gadget,7,29.99,2024-02-28
O00224,R05,Gadget,3,29.99,2024-05-16
O00225,R02,Widget,1,12.5,2024-03-25
O00226,R03,Sprocket,8,4.75,2024-03-04
O00227,R04,Sprocket,7,4.75,2024-05-19
O00228,R05,Cog,8,8.25,2024-02-11
O00229,R05,Widget,7,12.5,2024-06-14
O00230,R05,Sprocket,1,4.75,2024-02-16
O00231,R02,Widget,5,12.5,2024-10-22
O00232,R01,Gadget,8,29.99,2024-09-22
O00233,R06,Cog,5,8.25,2024-04-02
O00234,R05,Cog,8,8.25,2024-02-16
O00235,R04,Sprocket,7,4.75,2024-06-19
O00236,R03,Widget,3,12.5,2024-06-17
O00237,R04,Cog,5,8.25,2024-12-05
O00238,R04,Widget,8,12.5,2024-02-15
O00239,R03,Sprocket,6,4.75,2024-02-29
O00240,R04,Widget,9,12.5,2024-08-24
O00241,R04,Widget,4,12.5,2024-09-22
O00242,R03,Cog,8,8.25,2024-01-27
O00243,R02,Sprocket,9,4.75,2024-03-08
O00244,R03,Cog,8,8.25,2024-03-03
O00245,R01,Gadget,3,29.99,2024-06-08
O00246,R05,Widget,9,12.5,2024-07-27
O00247,R01,Gadget,2,29.99,2024-08-24
O00248,R01,Gadget,8,29.99,2024-05-29
O00249,R05,Sprocket,7,4.75,2024-09-04
O00250,R04,Gadget,8,29.99,2024-10-09
O00251,R02,Cog,4,8.25,2024-11-02
O00252,R05,Gadget,2,29.99,2024-05-21
O00253,R04,Sprocket,9,4.75,2024-05-16
O00254,R01,Sprocket,5,4.75,2024-10-27
O00255,R05,Cog,3,8.25,2024-08-16
O00256,R05,Cog,6,8.25,2024-06-19
O00257,R05,Cog,8,8.25,2024-06-13
O00258,R02,Gadget,10,29.99,2024-07-15
O00259,R02,Cog,1,8.25,2024-06-11
O00260,R06,Cog,7,8.25,2024-07-16
O00261,R06,Gadget,8,29.99,2024-01-19
O00262,R02,Sprocket,2,4.75,2024-08-13
O00263,R01,Cog,1,8.25,2024-03-14
O00264,R04,Gadget,2,29.99,2024-08-28
O00265,R03,Sprocket,10,4.75,2024-12-20
O00266,R04,Widget,6,12.5,2024-12-11
O00267,R05,Cog,6,8.25,2024-11-16
O00268,R06,Cog,9,8.25,2024-01-19
O00269,R05,Widget,4,12.5,2024-11-19
O00270,R06,Sprocket,4,4.75,2024-02-16
O00271,R04,Widget,2,12.5,2024-08-15
O00272,R02,Sprocket,1,4.75,2024-01-24
O00273,R03,Widget,5,12.5,2024-07-02
O00274,R03,Cog,3,8.25,2024-05-05
O00275,R05,Cog,10,8.25,2024-12-15
O00276,R02,Gadget,3,29.99,2024-02-10
O00277,R05,Cog,10,8.25,2024-12-15
O00278,R02,Cog,10,8.25,2024-03-14
O00279,R02,Cog,5,8.25,2024-08-23
O00280,R03,Widget,8,12.5,2024-05-27
O00281,R06,Gadget,2,29.99,2024-08-14
O00282,R03,Sprocket,7,4.75,2024-12-19
O00283,R03,Cog,5,8.25,2024-04-11
O00284,R04,Cog,2,8.25,2024-05-01
O00285,R04,Sprocket,10,4.75,2024-05-31
O00286,R06,Sprocket,1,4.75,2024-12-03
O00287,R04,Sprocket,1,4.75,2024-10-16
O00288,R06,Widget,10,12.5,2024-09-11
O00289,R03,Gadget,10,29.99,2024-06-29
O00290,R02,Gadget,10,29.99,2024-05-08
O00291,R06,Gadget,2,29.99,2024-11-17
O00292,R06,Widget,5,12.5,2024-08-13
O00293,R01,Sprocket,3,4.75,2024-02-16
O00294,R03,Sprocket,7,4.75,2024-03-30
O00295,R02,Gadget,9,29.99,2024-07-06
O00296,R05,Sprocket,3,4.75,2024-05-11
O00297,R04,Sprocket,6,4.75,2024-02-28
O00298,R04,Widget,3,12.5,2024-04-25
O00299,R06,Cog,9,8.25,2024-07-06
O00300,R01,Cog,1,8.25,2024-05-15
O00301,R05,Widget,8,12.5,2024-07-07
O00302,R06,Sprocket,10,4.75,2024-07-14
O00303,R06,Sprocket,2,4.75,2024-12-11
O00304,R02,Cog,1,8.25,2024-11-13
O00305,R05,Sprocket,10,4.75,2024-04-23
O00306,R06,Widget,8,12.5,2024-12-24
O00307,R03,Cog,2,8.25,2024-03-12
O00308,R01,Widget,5,12.5,2024-09-09
O00309,R01,Widget,4,12.5,2024-10-02
O00310,R02,Cog,8,8.25,2024-07-08
O00311,R06,Cog,10,8.25,2024-03-20
O00312,R04,Widget,8,12.5,2024-11-11
O00313,R04,Sprocket,1,4.75,2024-12-19
O00314,R03,Gadget,8,29.99,2024-08-15
O00315,R02,Sprocket,2,4.75,2024-12-17
O00316,R03,Sprocket,1,4.75,2024-07-22
O00317,R03,Gadget,2,29.99,2024-08-20
O00318,R01,Gadget,10,29.99,2024-01-11
O00319,R01,Sprocket,4,4.75,2024-03-05
O00320,R05,Gadget,2,29.99,2024-10-10
O00321,R02,Gadget,4,29.99,2024-06-17
O00322,R02,Widget,5,12.5,2024-03-15
O00323,R02,Sprocket,3,4.75,2024-02-26
O00324,R06,Widget,3,12.5,2024-01-08
O00325,R03,Gadget,10,29.99,2024-06-14
O00326,R01,Gadget,5,29.99,2024-01-27
O00327,R02,Cog,9,8.25,2024-02-28
O00328,R06,Widget,8,12.5,2024-08-17
O00329,R03,Widget,8,12.5,2024-09-14
O00330,R02,Widget,9,12.5,2024-06-03
O00331,R04,Widget,1,12.5,2024-09-02
O00332,R04,Cog,2,8.25,2024-09-08
O00333,R06,Cog,2,8.25,2024-02-11
O00334,R03,Gadget,2,29.99,2024-03-05
O00335,R03,Sprocket,7,4.75,2024-11-01
O00336,R05,Sprocket,8,4.75,2024-09-15
O00337,R05,Cog,2,8.25,2024-12-25
O00338,R01,Gadget,7,29.99,2024-08-19
O00339,R02,Cog,6,8.25,2024-08-20
O00340,R04,Cog,2,8.25,2024-06-09
O00341,R04,Sprocket,5,4.75,2024-07-10
O00342,R02,Cog,2,8.25,2024-02-16
O00343,R01,Widget,7,12.5,2024-02-19
O00344,R06,Sprocket,3,4.75,2024-10-11
O00345,R01,Sprocket,2,4.75,2024-07-29
O00346,R03,Cog,1,8.25,2024-05-27
O00347,R05,Sprocket,6,4.75,2024-02-23
O00348,R05,Gadget,3,29.99,2024-12-02
O00349,R04,Gadget,2,29.99,2024-06-28
O00350,R05,Sprocket,2,4.75,2024-05-22
O00351,R05,Gadget,7,29.99,2024-10-14
O00352,R05,Widget,10,12.5,2024-12-02
O00353,R06,Sprocket,1,4.75,2024-04-02
O00354,R03,Sprocket,6,4.75,2024-06-28
O00355,R01,Gadget,3,29.99,2024-10-16
O00356,R06,Cog,2,8.25,2024-03-13
O00357,R06,Widget,2,12.5,2024-09-28
O00358,R02,Cog,7,8.25,2024-08-20
O00359,R03,Gadget,6,29.99,2024-06-08
O00360,R06,Sprocket,10,4.75,2024-11-01
O00361,R01,Widget,3,12.5,2024-03-21
O00362,R05,Widget,2,12.5,2024-05-19
O00363,R04,Cog,8,8.25,2024-11-06
O00364,R04,Cog,5,8.25,2024-04-20
O00365,R05,Widget,6,12.5,2024-08-08
O00366,R01,Sprocket,10,4.75,2024-09-06
O00367,R05,Sprocket,1,4.75,2024-04-22
O00368,R04,Widget,1,12.5,2024-04-14
O00369,R03,Gadget,3,29.99,2024-05-10
O00370,R03,Sprocket,2,4.75,2024-01-04
O00371,R04,Cog,3,8.25,2024-03-07
O00372,R04,Gadget,9,29.99,2024-10-13
O00373,R06,Sprocket,2,4.75,2024-07-22
O00374,R06,Widget,7,12.5,2024-01-10
O00375,R04,Widget,6,12.5,2024-10-21
O00376,R04,Cog,7,8.25,2024-05-28
O00377,R01,Cog,1,8.25,2024-06-15
O00378,R02,Cog,6,8.25,2024-02-15
O00379,R04,Widget,4,12.5,2024-08-11
O00380,R05,Cog,9,8.25,2024-02-10
O00381,R04,Sprocket,6,4.75,2024-04-23
O00382,R03,Gadget,2,29.99,2024-09-18
O00383,R06,Widget,9,12.5,2024-09-18
O00384,R02,Sprocket,6,4.75,2024-11-26
O00385,R02,Gadget,2,29.99,2024-03-15
O00386,R03,Gadget,3,29.99,2024-11-04
O00387,R02,Widget,3,12.5,2024-11-17
O00388,R04,Cog,10,8.25,2024-10-23
O00389,R04,Sprocket,6,4.75,2024-03-18
O00390,R04,Widget,8,12.5,2024-08-14
O00391,R06,Sprocket,5,4.75,2024-10-29
O00392,R01,Sprocket,9,4.75,2024-02-07
O00393,R03,Cog,8,8.25,2024-01-20
O00394,R01,Sprocket,5,4.75,2024-02-09
O00395,R06,Widget,10,12.5,2024-10-31
O00396,R05,Cog,8,8.25,2024-10-24
O00397,R05,Widget,8,12.5,2024-10-19
O00398,R06,Gadget,6,29.99,2024-11-05
O00399,R04,Gadget,1,29.99,2024-08-18
O00400,R01,Sprocket,2,4.75,2024-09-15
O00401,R06,Gadget,1,29.99,2024-05-06
O00402,R06,Cog,8,8.25,2024-09-25
O00403,R05,Gadget,6,29.99,2024-07-09
O00404,R03,Cog,7,8.25,2024-06-22
O00405,R06,Widget,6,12.5,2024-02-03
O00406,R03,Widget,9,12.5,2024-12-13
O00407,R04,Sprocket,5,4.75,2024-12-02
O00408,R05,Gadget,6,29.99,2024-02-11
O00409,R05,Gadget,6,29.99,2024-06-07
O00410,R06,Cog,3,8.25,2024-10-31
O00411,R06,Widget,5,12.5,2024-10-13
O00412,R04,Sprocket,3,4.75,2024-12-09
O00413,R06,Widget,7,12.5,2024-09-17
O00414,R03,Widget,6,12.5,2024-06-07
O00415,R02,Gadget,6,29.99,2024-09-05
O00416,R02,Gadget,3,29.99,2024-03-20
O00417,R01,Sprocket,2,4.75,2024-09-16
O00418,R05,Widget,6,12.5,2024-11-12
O00419,R02,Cog,3,8.25,2024-03-24
O00420,R02,Gadget,8,29.99,2024-01-23
O00421,R04,Sprocket,4,4.75,2024-08-15
O00422,R05,Sprocket,8,4.75,2024-04-29
O00423,R05,Gadget,5,29.99,2024-08-28
O00424,R02,Sprocket,10,4.75,2024-08-13
O00425,R04,Sprocket,7,4.75,2024-09-14
O00426,R05,Cog,3,8.25,2024-04-12
O00427,R05,Gadget,5,29.99,2024-01-27
O00428,R06,Cog,6,8.25,2024-10-10
O00429,R01,Widget,5,12.5,2024-02-12
O00430,R02,Sprocket,8,4.75,2024-09-19
O00431,R02,Cog,2,8.25,2024-04-23
O00432,R04,Sprocket,1,4.75,2024-07-31
O00433,R01,Cog,9,8.25,2024-07-10
O00434,R02,Cog,2,8.25,2024-07-10
O00435,R02,Widget,6,12.5,2024-02-20
O00436,R06,Sprocket,3,4.75,2024-03-11
O00437,R01,Sprocket,8,4.75,2024-12-22
O00438,R02,Cog,8,8.25,2024-11-11
O00439,R01,Widget,1,12.5,2024-05-11
O00440,R02,Gadget,9,29.99,2024-11-07
O00441,R05,Cog,2,8.25,2024-05-27
O00442,R02,Sprocket,2,4.75,2024-01-25
O00443,R02,Cog,10,8.25,2024-08-22
O00444,R01,Widget,8,12.5,2024-11-01
O00445,R05,Widget,9,12.5,2024-10-21
O00446,R02,Gadget,5,29.99,2024-08-07
O00447,R01,Sprocket,4,4.75,2024-10-19
O00448,R04,Gadget,2,29.99,2024-09-25
O00449,R03,Widget,9,12.5,2024-10-05
O00450,R05,Widget,7,12.5,2024-08-28
O00451,R01,Cog,6,8.25,2024-05-09
O00452,R06,Widget,6,12.5,2024-02-04
O00453,R03,Gadget,2,29.99,2024-10-24
O00454,R06,Sprocket,3,4.75,2024-01-23
O00455,R03,Sprocket,3,4.75,2024-12-16
O00456,R04,Cog,3,8.25,2024-03-10
O00457,R01,Cog,1,8.25,2024-05-30
O00458,R02,Widget,4,12.5,2024-01-22
O00459,R03,Sprocket,9,4.75,2024-07-22
O00460,R05,Cog,5,8.25,2024-01-19
O00461,R06,Gadget,5,29.99,2024-07-01
O00462,R01,Sprocket,5,4.75,2024-03-04
O00463,R03,Cog,7,8.25,2024-08-13
O00464,R04,Sprocket,3,4.75,2024-09-11
O00465,R06,Cog,6,8.25,2024-09-22
O00466,R03,Widget,7,12.5,2024-02-10
O00467,R04,Gadget,9,29.99,2024-05-30
O00468,R03,Widget,2,12.5,2024-06-16
O00469,R06,Sprocket,5,4.75,2024-08-16
O00470,R05,Cog,3,8.25,2024-12-19
O00471,R04,Sprocket,8,4.75,2024-01-22
O00472,R06,Sprocket,10,4.75,2024-08-10
O00473,R03,Widget,2,12.5,2024-12-09
O00474,R06,Cog,6,8.25,2024-09-19
O00475,R06,Gadget,1,29.99,2024-03-14
O00476,R05,Cog,1,8.25,2024-03-05
O00477,R01,Gadget,6,29.99,2024-07-04
O00478,R04,Widget,10,12.5,2024-03-19
O00479,R06,Cog,6,8.25,2024-07-09
O00480,R04,Widget,10,12.5,2024-03-11
O00481,R05,Sprocket,7,4.75,2024-06-09
O00482,R06,Sprocket,4,4.75,2024-02-28
O00483,R01,Gadget,8,29.99,2024-09-22
O00484,R04,Widget,5,12.5,2024-05-13
O00485,R06,Cog,4,8.25,2024-11-09
O00486,R03,Cog,4,8.25,2024-03-03
O00487,R02,Widget,8,12.5,2024-03-29
O00488,R06,Cog,2,8.25,2024-12-15
O00489,R03,Sprocket,2,4.75,2024-10-08
O00490,R05,Sprocket,5,4.75,2024-03-21
O00491,R06,Gadget,6,29.99,2024-09-17
O00492,R02,Widget,4,12.5,2024-03-12
O00493,R02,Cog,1,8.25,2024-07-03
O00494,R05,Sprocket,8,4.75,2024-10-09
O00495,R02,Widget,2,12.5,2024-06-07
O00496,R04,Cog,9,8.25,2024-07-29
O00497,R04,Widget,3,12.5,2024-06-11
O00498,R06,Widget,8,12.5,2024-08-26
O00499,R06,Sprocket,3,4.75,2024-10-09
O00500,R06,Gadget,3,29.99,2024-08-09
